 	LSOA.Code	LSOA.Name	LA.Code	LA.Name	Region	Estimated.number.of.households	Estimated.number.of.Fuel.Poor.Households	Proportion.of.households.fuel.poor....	
14537	E01014991	South Gloucestershire 002B	E06000025	South Gloucestershire	South West	12	93	9.2	1010.8695652174
14701	E01015157	Plymouth 029D	E06000026	Plymouth	South West	199	241	19.6	1229.5918367347
14702	E01015158	Plymouth 029E	E06000026	Plymouth	South West	209	235	17.2	1366.2790697675
14725	E01015181	Plymouth 028D	E06000026	Plymouth	South West	10	237	23.5	1008.5106382979
14796	E01015252	Torbay 003D	E06000027	Torbay	South West	34	109	10.6	1028.3018867925
14800	E01015256	Torbay 008C	E06000027	Torbay	South West	63	208	19.6	1061.2244897959
14822	E01015279	Bournemouth 019B	E06000028	Bournemouth	South West	16	221	21.8	1013.7614678899
14823	E01015280	Bournemouth 019C	E06000028	Bournemouth	South West	31	256	24.9	1028.1124497992
14825	E01015282	Bournemouth 019E	E06000028	Bournemouth	South West	187	340	28.1	1209.9644128114
14826	E01015283	Bournemouth 017A	E06000028	Bournemouth	South West	21	215	21.1	1018.9573459716
14827	E01015285	Bournemouth 021A	E06000028	Bournemouth	South West	122	220	19.6	1122.4489795918
14828	E01015286	Bournemouth 017C	E06000028	Bournemouth	South West	114	123	11	1118.1818181818
14831	E01015289	Bournemouth 021C	E06000028	Bournemouth	South West	43	169	16.2	1043.2098765432
14838	E01015296	Bournemouth 020B	E06000028	Bournemouth	South West	10	127	12.6	1007.9365079365
14873	E01015331	Bournemouth 013B	E06000028	Bournemouth	South West	48	164	15.7	1044.5859872612
14908	E01015367	Bournemouth 024A	E06000028	Bournemouth	South West	137	208	18.3	1136.6120218579
14909	E01015368	Bournemouth 024B	E06000028	Bournemouth	South West	52	113	10.8	1046.2962962963
14964	E01015423	Poole 016A	E06000029	Poole	South West	4	162	16.2	1000
14994	E01015453	Poole 017B	E06000029	Poole	South West	9	127	12.6	1007.9365079365
15014	E01015476	Swindon 015B	E06000030	Swindon	South West	201	275	22.3	1233.1838565023
15070	E01015534	Swindon 024B	E06000030	Swindon	South West	78	111	10.3	1077.6699029126
15072	E01015536	Swindon 024D	E06000030	Swindon	South West	45	143	13.7	1043.795620438
15157	E01015622	Peterborough 016A	E06000031	Peterborough	East of England	83	100	9.2	1086.9565217391
15274	E01015741	Luton 018B	E06000032	Luton	East of England	15	143	14.1	1014.1843971631
15324	E01015791	Luton 021C	E06000032	Luton	East of England	105	249	22.5	1106.6666666667
15327	E01015794	Luton 018F	E06000032	Luton	East of England	43	148	14.2	1042.2535211268
15374	E01015841	Southend-on-Sea 014C	E06000033	Southend-on-Sea	East of England	62	244	23	1060.8695652174
15384	E01015851	Southend-on-Sea 015A	E06000033	Southend-on-Sea	East of England	6	143	14.2	1007.0422535211
15428	E01015895	Southend-on-Sea 010A	E06000033	Southend-on-Sea	East of England	42	175	16.8	1041.6666666667
15544	E01016013	Thurrock 015D	E06000034	Thurrock	East of England	5	87	8.7	1000
15565	E01016034	Medway 010C	E06000035	Medway	South East	36	103	10	1030
15760	E01016233	Bracknell Forest 007B	E06000036	Bracknell Forest	South East	27	60	5.8	1034.4827586207
15818	E01016293	West Berkshire 019A	E06000037	West Berkshire	South East	3	52	5.2	1000
15998	E01016477	Slough 008E	E06000039	Slough	South East	24	37	3.6	1027.7777777778
16039	E01016519	Slough 005D	E06000039	Slough	South East	38	75	7.2	1041.6666666667
16065	E01016545	Windsor and Maidenhead 012A	E06000040	Windsor and Maidenhead	South East	69	75	7	1071.4285714286
16347	E01016840	Milton Keynes 010D	E06000042	Milton Keynes	South East	52	64	6.1	1049.1803278689
16360	E01016853	Brighton and Hove 026C	E06000043	Brighton and Hove	South East	113	141	12.7	1110.2362204724
16361	E01016854	Brighton and Hove 029C	E06000043	Brighton and Hove	South East	1	170	17	1000
16362	E01016855	Brighton and Hove 026D	E06000043	Brighton and Hove	South East	21	138	13.5	1022.2222222222
16378	E01016871	Brighton and Hove 019B	E06000043	Brighton and Hove	South East	59	91	8.6	1058.1395348837
16380	E01016873	Brighton and Hove 019D	E06000043	Brighton and Hove	South East	2	95	9.5	1000
16381	E01016874	Brighton and Hove 020B	E06000043	Brighton and Hove	South East	31	63	6.1	1032.7868852459
16444	E01016937	Brighton and Hove 014E	E06000043	Brighton and Hove	South East	20	164	16.1	1018.6335403727
16448	E01016941	Brighton and Hove 030A	E06000043	Brighton and Hove	South East	116	170	15.2	1118.4210526316
16457	E01016950	Brighton and Hove 024B	E06000043	Brighton and Hove	South East	30	119	11.6	1025.8620689655
16461	E01016954	Brighton and Hove 029D	E06000043	Brighton and Hove	South East	109	160	14.4	1111.1111111111
16462	E01016955	Brighton and Hove 029E	E06000043	Brighton and Hove	South East	35	166	16.1	1031.0559006211
16471	E01016964	Brighton and Hove 027C	E06000043	Brighton and Hove	South East	16	210	20.7	1014.4927536232
16473	E01016967	Brighton and Hove 024D	E06000043	Brighton and Hove	South East	109	146	13.2	1106.0606060606
16475	E01016969	Brighton and Hove 027E	E06000043	Brighton and Hove	South East	38	132	12.7	1039.3700787402
16627	E01017123	Portsmouth 024B	E06000044	Portsmouth	South East	128	146	12.9	1131.7829457364
16644	E01017142	Southampton 029C	E06000045	Southampton	South East	20	58	5.7	1017.5438596491
16696	E01017196	Southampton 020D	E06000045	Southampton	South East	13	56	5.5	1018.1818181818
17063	E01017575	Central Bedfordshire 024C	E06000056	Central Bedfordshire	East of England	65	84	7.9	1063.2911392405
17324	E01017842	Wycombe 007A	E07000007	Wycombe	South East	52	164	15.6	1051.2820512821
17360	E01017878	Wycombe 007D	E07000007	Wycombe	South East	74	242	22.5	1075.5555555556
17391	E01017910	Wycombe 016C	E07000007	Wycombe	South East	70	77	7.2	1069.4444444445
17447	E01017966	Cambridge 010B	E07000008	Cambridge	East of England	92	125	11.4	1096.4912280702
17506	E01018032	East Cambridgeshire 003D	E07000009	East Cambridgeshire	East of England	21	89	8.7	1022.9885057471
17535	E01018062	Fenland 011A	E07000010	Fenland	East of England	45	107	10.2	1049.0196078431
17582	E01018110	Fenland 011E	E07000010	Fenland	East of England	86	133	12.2	1090.1639344262
17657	E01018187	Huntingdonshire 019A	E07000011	Huntingdonshire	East of England	15	62	6.1	1016.393442623
17792	E01018326	Cheshire West and Chester 034A	E06000050	Cheshire West and Chester	North West	159	185	15.9	1163.5220125786
