"LSOA.Code"	"LSOA.Name"	"LA.Code"	"LA.Name"	"Region"	"Estimated.number.of.households"	"Estimated.number.of.Fuel.Poor.Households"	"Proportion.of.households.fuel.poor...."
"13942"	"E01014371"	"Bath and North East Somerset 0"	"E06000022"	"Bath and North East Somerset"	"South West"	115	153	13.7
"14054"	"E01014486"	"Bristol 023B"	"E06000023"	"Bristol City of"	"South West"	112	178	16
"14057"	"E01014489"	"Bristol 023D"	"E06000023"	"Bristol City of"	"South West"	166	207	17.7
"14132"	"E01014568"	"Bristol 057A"	"E06000023"	"Bristol City of"	"South West"	32	204	19.8
"14138"	"E01014574"	"Bristol 057D"	"E06000023"	"Bristol City of"	"South West"	18	165	16.2
"14212"	"E01014653"	"Bristol 055B"	"E06000023"	"Bristol City of"	"South West"	82	150	13.9
"14214"	"E01014655"	"Bristol 055C"	"E06000023"	"Bristol City of"	"South West"	95	211	19.3
"14238"	"E01014681"	"Bristol 029D"	"E06000023"	"Bristol City of"	"South West"	89	124	11.4
"14389"	"E01014841"	"North Somerset 018A"	"E06000024"	"North Somerset"	"South West"	11	112	11.1
"14537"	"E01014991"	"South Gloucestershire 002B"	"E06000025"	"South Gloucestershire"	"South West"	12	65	6.4
"14725"	"E01015181"	"Plymouth 028D"	"E06000026"	"Plymouth"	"South West"	10	189	18.7
"14796"	"E01015252"	"Torbay 003D"	"E06000027"	"Torbay"	"South West"	34	58	5.6
"14800"	"E01015256"	"Torbay 008C"	"E06000027"	"Torbay"	"South West"	63	143	13.5
"14822"	"E01015279"	"Bournemouth 019B"	"E06000028"	"Bournemouth"	"South West"	16	133	13.1
"14823"	"E01015280"	"Bournemouth 019C"	"E06000028"	"Bournemouth"	"South West"	31	130	12.6
"14825"	"E01015282"	"Bournemouth 019E"	"E06000028"	"Bournemouth"	"South West"	187	261	21.6
"14826"	"E01015283"	"Bournemouth 017A"	"E06000028"	"Bournemouth"	"South West"	21	109	10.7
"14831"	"E01015289"	"Bournemouth 021C"	"E06000028"	"Bournemouth"	"South West"	43	111	10.7
"14838"	"E01015296"	"Bournemouth 020B"	"E06000028"	"Bournemouth"	"South West"	10	56	5.6
"14873"	"E01015331"	"Bournemouth 013B"	"E06000028"	"Bournemouth"	"South West"	48	101	9.6
"14964"	"E01015423"	"Poole 016A"	"E06000029"	"Poole"	"South West"	4	90	9
"14994"	"E01015453"	"Poole 017B"	"E06000029"	"Poole"	"South West"	9	68	6.7
"15014"	"E01015476"	"Swindon 015B"	"E06000030"	"Swindon"	"South West"	201	212	17.2
"15072"	"E01015536"	"Swindon 024D"	"E06000030"	"Swindon"	"South West"	45	128	12.3
"15157"	"E01015622"	"Peterborough 016A"	"E06000031"	"Peterborough"	"East of England"	83	89	8.2
"15274"	"E01015741"	"Luton 018B"	"E06000032"	"Luton"	"East of England"	15	113	11.1
"15324"	"E01015791"	"Luton 021C"	"E06000032"	"Luton"	"East of England"	105	232	21
"15327"	"E01015794"	"Luton 018F"	"E06000032"	"Luton"	"East of England"	43	100	9.6
"15374"	"E01015841"	"Southend-on-Sea 014C"	"E06000033"	"Southend-on-Sea"	"East of England"	62	185	17.4
"15384"	"E01015851"	"Southend-on-Sea 015A"	"E06000033"	"Southend-on-Sea"	"East of England"	6	86	8.6
"15428"	"E01015895"	"Southend-on-Sea 010A"	"E06000033"	"Southend-on-Sea"	"East of England"	42	100	9.6
"15544"	"E01016013"	"Thurrock 015D"	"E06000034"	"Thurrock"	"East of England"	5	42	4.2
"15565"	"E01016034"	"Medway 010C"	"E06000035"	"Medway"	"South East"	36	68	6.6
"15760"	"E01016233"	"Bracknell Forest 007B"	"E06000036"	"Bracknell Forest"	"South East"	27	53	5.2
"15818"	"E01016293"	"West Berkshire 019A"	"E06000037"	"West Berkshire"	"South East"	3	37	3.7
"15964"	"E01016442"	"Reading 017E"	"E06000038"	"Reading"	"South East"	104	126	11.4
"15998"	"E01016477"	"Slough 008E"	"E06000039"	"Slough"	"South East"	24	29	2.8
"16039"	"E01016519"	"Slough 005D"	"E06000039"	"Slough"	"South East"	38	100	9.6
"16065"	"E01016545"	"Windsor and Maidenhead 012A"	"E06000040"	"Windsor and Maidenhead"	"South East"	69	74	6.9
"16347"	"E01016840"	"Milton Keynes 010D"	"E06000042"	"Milton Keynes"	"South East"	52	53	5
"16360"	"E01016853"	"Brighton and Hove 026C"	"E06000043"	"Brighton and Hove"	"South East"	113	117	10.5
"16361"	"E01016854"	"Brighton and Hove 029C"	"E06000043"	"Brighton and Hove"	"South East"	1	136	13.6
"16362"	"E01016855"	"Brighton and Hove 026D"	"E06000043"	"Brighton and Hove"	"South East"	21	121	11.9
"16378"	"E01016871"	"Brighton and Hove 019B"	"E06000043"	"Brighton and Hove"	"South East"	59	71	6.7
"16380"	"E01016873"	"Brighton and Hove 019D"	"E06000043"	"Brighton and Hove"	"South East"	2	83	8.3
"16381"	"E01016874"	"Brighton and Hove 020B"	"E06000043"	"Brighton and Hove"	"South East"	31	55	5.3
"16444"	"E01016937"	"Brighton and Hove 014E"	"E06000043"	"Brighton and Hove"	"South East"	20	118	11.6
"16448"	"E01016941"	"Brighton and Hove 030A"	"E06000043"	"Brighton and Hove"	"South East"	116	175	15.7
"16457"	"E01016950"	"Brighton and Hove 024B"	"E06000043"	"Brighton and Hove"	"South East"	30	118	11.5
"16461"	"E01016954"	"Brighton and Hove 029D"	"E06000043"	"Brighton and Hove"	"South East"	109	195	17.6
"16462"	"E01016955"	"Brighton and Hove 029E"	"E06000043"	"Brighton and Hove"	"South East"	35	143	13.8
"16471"	"E01016964"	"Brighton and Hove 027C"	"E06000043"	"Brighton and Hove"	"South East"	16	200	19.7
"16473"	"E01016967"	"Brighton and Hove 024D"	"E06000043"	"Brighton and Hove"	"South East"	109	137	12.4
"16475"	"E01016969"	"Brighton and Hove 027E"	"E06000043"	"Brighton and Hove"	"South East"	38	109	10.5
"16627"	"E01017123"	"Portsmouth 024B"	"E06000044"	"Portsmouth"	"South East"	128	131	11.6
"16644"	"E01017142"	"Southampton 029C"	"E06000045"	"Southampton"	"South East"	20	26	2.6
"16696"	"E01017196"	"Southampton 020D"	"E06000045"	"Southampton"	"South East"	13	41	4.1
"17324"	"E01017842"	"Wycombe 007A"	"E07000007"	"Wycombe"	"South East"	52	94	8.9
"17360"	"E01017878"	"Wycombe 007D"	"E07000007"	"Wycombe"	"South East"	74	135	12.6
"17391"	"E01017910"	"Wycombe 016C"	"E07000007"	"Wycombe"	"South East"	70	71	6.6
"17447"	"E01017966"	"Cambridge 010B"	"E07000008"	"Cambridge"	"East of England"	92	131	12
"17506"	"E01018032"	"East Cambridgeshire 003D"	"E07000009"	"East Cambridgeshire"	"East of England"	21	71	7
"17535"	"E01018062"	"Fenland 011A"	"E07000010"	"Fenland"	"East of England"	45	75	7.2
"17582"	"E01018110"	"Fenland 011E"	"E07000010"	"Fenland"	"East of England"	86	104	9.6
"17657"	"E01018187"	"Huntingdonshire 019A"	"E07000011"	"Huntingdonshire"	"East of England"	15	53	5.2
"17795"	"E01018329"	"Cheshire West and Chester 034C"	"E06000050"	"Cheshire West and Chester"	"North West"	46	192	18.4
"17931"	"E01018466"	"Cheshire East 036D"	"E06000049"	"Cheshire East"	"North West"	114	164	14.7
"18027"	"E01018563"	"Cheshire West and Chester 007D"	"E06000050"	"Cheshire West and Chester"	"North West"	28	72	7
"18028"	"E01018564"	"Cheshire West and Chester 007E"	"E06000050"	"Cheshire West and Chester"	"North West"	109	123	11.1
"18041"	"E01018577"	"Cheshire East 013C"	"E06000049"	"Cheshire East"	"North West"	105	110	10
"18055"	"E01018591"	"Cheshire East 020A"	"E06000049"	"Cheshire East"	"North West"	21	137	13.4
"18061"	"E01018597"	"Cheshire East 020B"	"E06000049"	"Cheshire East"	"North West"	14	169	16.7
"18090"	"E01018626"	"Cheshire East 016A"	"E06000049"	"Cheshire East"	"North West"	51	103	9.8
